month,location,Violence and sexual offences,Anti-social behaviour,Public order,Criminal damage and arson,Other theft,Vehicle crime,Burglary,Shoplifting,Bicycle theft,Drugs,Robbery,Other crime,Theft from the person,Possession of weapons,force_name,force_area,population2021,population density,safe_index
2019-11-01,suffolk,2036,594.0,433.0,529.0,366.0,237.0,247.0,354.0,67.0,128.0,35.0,113.0,51.0,52.0,suffolk,3797.0,760300,200.2370292,0.28484899927829654
2019-11-01,surrey,2321,1623.0,669.0,839.0,654.0,569.0,654.0,391.0,91.0,308.0,32.0,156.0,72.0,64.0,surrey,1663.0,1203100,723.4515935,0.10769931954965256
2019-11-01,sussex,3967,2312.0,910.0,1227.0,1006.0,796.0,702.0,886.0,196.0,370.0,129.0,219.0,137.0,176.0,sussex,3783.0,1705700,450.8855406,0.27129383211182484
2019-11-01,thames-valley,5222,1928.0,744.0,1618.0,1563.0,1679.0,1144.0,1156.0,386.0,475.0,132.0,277.0,333.0,177.0,thames-valley,5742.0,2515100,438.0181122,0.3848802744028589
2019-11-01,warwickshire,1421,690.0,205.0,344.0,386.0,420.0,276.0,252.0,46.0,74.0,35.0,47.0,36.0,42.0,warwickshire,1975.0,596800,302.1772152,0.13880260058365135
2019-11-01,west-mercia,3185,2715.0,436.0,843.0,661.0,426.0,565.0,646.0,62.0,216.0,61.0,125.0,80.0,76.0,west-mercia,7428.0,1299900,175.0,0.5273428920802098
2019-11-01,west-midlands,8318,2432.0,1460.0,2061.0,1601.0,2653.0,2066.0,1169.0,201.0,433.0,643.0,344.0,281.0,269.0,west-midlands,902.0,2919600,3236.807095,0.07682485361612736
2019-11-01,west-yorkshire,9744,3402.0,2470.0,2672.0,1898.0,1902.0,1956.0,1654.0,158.0,786.0,302.0,640.0,326.0,200.0,west-yorkshire,2029.0,2351600,1158.994579,0.2510108817402634
2019-11-01,wiltshire,1309,1192.0,248.0,499.0,320.0,234.0,290.0,415.0,44.0,114.0,27.0,62.0,25.0,36.0,wiltshire,3490.0,743800,213.1232092,0.19944641056290904
2019-12-01,avon-and-somerset,4211,2147.0,1417.0,1328.0,1033.0,835.0,742.0,759.0,153.0,260.0,169.0,153.0,115.0,73.0,avon-and-somerset,4777.0,1744500,365.1873561,0.35047876295602454
2019-12-01,bedfordshire,1384,854.0,341.0,428.0,413.0,531.0,422.0,248.0,73.0,118.0,83.0,54.0,49.0,21.0,bedfordshire,1024.0,704800,688.28125,0.06631244472389577
2019-12-01,cambridgeshire,2043,1021.0,519.0,703.0,489.0,402.0,452.0,329.0,193.0,147.0,47.0,109.0,74.0,61.0,cambridgeshire,3389.0,894300,263.8831514,0.24553271732612944
2019-12-01,cheshire,3235,1193.0,1176.0,793.0,548.0,364.0,363.0,453.0,75.0,126.0,42.0,123.0,50.0,40.0,cheshire,2346.0,1095100,466.7945439,0.1882542998362823
2019-12-01,city-of-london,141,85.0,42.0,25.0,237.0,26.0,31.0,58.0,16.0,79.0,16.0,25.0,92.0,9.0,city-of-london,2.6,8600,3307.692308,0.0014915237216904798
2019-12-01,cleveland,1940,1618.0,412.0,815.0,431.0,346.0,450.0,508.0,57.0,163.0,50.0,130.0,28.0,49.0,cleveland,597.0,569300,953.60134,0.06712316395807517
2019-12-01,cumbria,1488,509.0,310.0,467.0,215.0,78.0,178.0,176.0,18.0,68.0,15.0,46.0,6.0,21.0,cumbria,6820.0,499800,73.28445748,0.5683171524324062
